"FullName","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\.trashed-1787434100-IMG20260723162723.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:48:50 a. m.","23/08/2026 2:43:35 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\2026-03-04-165143739.mp4","21/08/2026 3:15:41 p. m.","20/08/2026 6:46:50 a. m.","23/08/2026 2:01:04 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0043.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0044.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0045.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0046.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0047.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0048.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0049.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0050.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:20 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0051.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0052.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0053.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:20 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0054.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:20 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0055.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:20 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0056.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:20 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0057.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:20 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0058.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:20 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0059.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:24 a. m.","23/08/2026 2:01:03 p. m."
"C:\Users\gonza\AppData\Local\Temp\taller_forense_movil\CASO-2026-002\imagen_logica\DCIM\DCIM\Camera\IMG-20251207-WA0060.jpg","21/08/2026 3:15:41 p. m.","20/08/2026 6:47:20 a. m.","23/08/2026 2:01:03 p. m."
